Disp Cluster Num:1
Disp Cluster Num:9
Center Point ,448,68,62,82,627

No.1 ,448,68,62,82,627
No.2 ,448,68,62,82,611
No.3 ,448,68,62,82,627
No.4 ,448,68,62,82,611
No.5 ,448,68,62,82,627
No.6 ,448,68,62,82,611
No.7 ,448,68,62,82,627
No.8 ,448,68,62,82,611
No.9 ,448,68,62,82,627
No.10 ,448,68,62,82,611

Disp Cluster Num:10
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,51,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925


Disp Cluster Num:1
Center Point ,213,91,232,82,745

No.1 ,213,91,232,82,745
No.2 ,205,11,250,24,657
No.3 ,213,91,232,82,745
No.4 ,205,11,250,24,657
No.5 ,213,91,232,82,745
No.6 ,205,11,250,24,657
No.7 ,213,91,232,82,745
No.8 ,205,11,250,24,657
No.9 ,213,91,232,82,745
No.10 ,205,11,250,24,657

Disp Cluster Num:2
Center Point ,353,57,439,6,815

No.1 ,353,57,439,6,815
No.2 ,353,57,503,6,815
No.3 ,353,57,439,6,815
No.4 ,353,57,503,6,815
No.5 ,353,57,439,6,815
No.6 ,353,57,503,6,815
No.7 ,353,49,439,6,815
No.8 ,353,49,439,6,815
No.9 ,353,49,439,6,815
No.10 ,353,57,503,6,815

Disp Cluster Num:3
Center Point ,166,82,5,66,438

No.1 ,166,82,5,66,438
No.2 ,166,82,5,66,438
No.3 ,166,82,5,66,438
No.4 ,166,82,5,66,438
No.5 ,166,82,37,66,438
No.6 ,166,82,5,66,438
No.7 ,166,82,5,66,438
No.8 ,166,82,5,66,438
No.9 ,166,82,5,66,438
No.10 ,166,82,5,66,438

Disp Cluster Num:4
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,109,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,51,925
No.10 ,128,45,23,55,925

Disp Cluster Num:5
Center Point ,289,72,279,58,530

No.1 ,289,72,279,58,530
No.2 ,289,72,279,58,530
No.3 ,289,72,279,58,530
No.4 ,289,72,279,58,530
No.5 ,289,72,279,58,530
No.6 ,289,72,279,58,530
No.7 ,289,72,279,58,530
No.8 ,289,72,279,58,530
No.9 ,289,72,279,58,530
No.10 ,289,72,279,58,530

Disp Cluster Num:6
Center Point ,68,62,368,7,659

No.1 ,68,62,368,7,659
No.2 ,68,62,368,7,659
No.3 ,68,62,368,7,659
No.4 ,68,62,368,7,659
No.5 ,68,62,368,7,659
No.6 ,68,62,368,7,659
No.7 ,68,62,368,7,659
No.8 ,68,62,368,7,659
No.9 ,68,62,368,7,659
No.10 ,68,62,368,7,659

Disp Cluster Num:7
Center Point ,128,61,23,55,925

No.1 ,128,61,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:8
Center Point ,321,57,439,6,811

No.1 ,321,57,439,6,811
No.2 ,353,57,503,6,815
No.3 ,321,57,439,6,811
No.4 ,353,57,503,6,815
No.5 ,321,57,439,6,811
No.6 ,353,57,503,6,815
No.7 ,321,57,439,6,811
No.8 ,353,57,503,2,815
No.9 ,353,57,503,6,815
No.10 ,353,57,503,6,815

Disp Cluster Num:9
Center Point ,464,68,62,82,627

No.1 ,464,68,62,82,627
No.2 ,448,68,62,82,627
No.3 ,448,68,62,82,627
No.4 ,448,68,62,82,627
No.5 ,448,68,62,82,627
No.6 ,448,68,62,82,627
No.7 ,448,68,62,82,627
No.8 ,448,68,62,82,627
No.9 ,448,68,62,82,627
No.10 ,448,68,62,82,627

Disp Cluster Num:10
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,51,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,51,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,51,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,51,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,51,925


Disp Cluster Num:1
Center Point ,205,11,250,24,657

No.1 ,205,11,250,24,657
No.2 ,213,91,232,82,745
No.3 ,205,11,250,24,657
No.4 ,213,91,232,82,745
No.5 ,205,11,250,24,657
No.6 ,213,91,232,82,745
No.7 ,205,11,250,24,657
No.8 ,213,91,232,82,745
No.9 ,205,11,250,24,657
No.10 ,213,91,232,82,745

Disp Cluster Num:2
Center Point ,353,57,503,6,815

No.1 ,353,57,503,6,815
No.2 ,353,57,503,6,815
No.3 ,353,57,503,6,815
No.4 ,353,57,503,6,815
No.5 ,353,57,503,6,815
No.6 ,353,57,503,6,815
No.7 ,353,57,503,6,815
No.8 ,353,57,503,6,815
No.9 ,353,57,503,6,815
No.10 ,353,57,503,6,815

Disp Cluster Num:3
Center Point ,166,82,5,66,438

No.1 ,166,82,5,66,438
No.2 ,166,82,5,66,438
No.3 ,166,82,5,66,438
No.4 ,166,82,5,66,438
No.5 ,166,82,5,66,438
No.6 ,166,82,5,66,438
No.7 ,166,82,5,66,438
No.8 ,166,82,5,66,438
No.9 ,166,82,5,64,438
No.10 ,166,82,5,66,438

Disp Cluster Num:4
Center Point ,128,45,23,53,925

No.1 ,128,45,23,53,925
No.2 ,128,45,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,45,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925

Disp Cluster Num:5
Center Point ,289,72,279,58,530

No.1 ,289,72,279,58,530
No.2 ,289,72,279,58,530
No.3 ,289,72,279,58,530
No.4 ,289,72,279,58,530
No.5 ,289,72,279,58,530
No.6 ,289,76,279,58,530
No.7 ,289,72,279,58,530
No.8 ,289,72,279,58,530
No.9 ,289,72,279,58,530
No.10 ,289,72,279,58,530

Disp Cluster Num:6
Center Point ,100,62,368,7,659

No.1 ,100,62,368,7,659
No.2 ,68,62,368,7,659
No.3 ,68,62,368,7,659
No.4 ,68,62,368,7,659
No.5 ,68,62,368,7,659
No.6 ,68,62,368,7,659
No.7 ,68,62,368,7,659
No.8 ,68,62,368,7,659
No.9 ,68,62,368,7,659
No.10 ,68,126,368,7,659

Disp Cluster Num:7
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,61,23,55,925
No.3 ,128,45,23,55,925
No.4 ,128,61,23,55,925
No.5 ,128,45,23,55,925
No.6 ,128,61,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,61,23,55,925
No.9 ,128,61,23,55,925
No.10 ,128,61,23,55,925

Disp Cluster Num:8
Center Point ,353,57,503,6,815

No.1 ,353,57,503,6,815
No.2 ,353,57,503,6,815
No.3 ,353,57,503,6,815
No.4 ,353,57,503,6,815
No.5 ,353,57,503,6,815
No.6 ,353,57,503,6,815
No.7 ,353,57,503,6,815
No.8 ,353,57,503,6,815
No.9 ,353,57,503,6,815
No.10 ,353,57,503,6,815

Disp Cluster Num:9
Center Point ,448,68,62,82,627

No.1 ,448,68,62,82,627
No.2 ,464,68,62,82,627
No.3 ,448,68,62,82,627
No.4 ,448,68,62,82,627
No.5 ,448,68,62,82,627
No.6 ,464,68,62,82,627
No.7 ,448,68,62,82,627
No.8 ,464,68,62,82,627
No.9 ,448,68,62,82,627
No.10 ,464,68,62,82,627

Disp Cluster Num:10
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,55,925
No.3 ,128,45,21,55,925
No.4 ,128,45,23,55,925
No.5 ,128,37,23,55,925
No.6 ,128,45,23,55,925
No.7 ,128,45,23,55,925
No.8 ,128,45,23,55,925
No.9 ,128,45,23,55,925
No.10 ,128,45,23,55,925


Disp Cluster Num:1
Center Point ,213,91,232,82,745

No.1 ,213,91,232,82,745
No.2 ,205,11,250,24,657
No.3 ,213,91,232,82,745
No.4 ,205,11,250,24,657
No.5 ,213,91,232,82,745
No.6 ,205,11,254,24,657
No.7 ,213,91,232,82,745
No.8 ,205,11,250,24,657
No.9 ,213,91,232,82,745
No.10 ,205,11,250,24,657

Disp Cluster Num:2
Center Point ,353,57,503,6,815

No.1 ,353,57,503,6,815
No.2 ,353,56,503,6,815
No.3 ,353,57,503,6,815
No.4 ,353,57,503,6,815
No.5 ,353,57,503,6,815
No.6 ,353,57,503,6,815
No.7 ,353,25,503,6,815
No.8 ,353,25,503,6,815
No.9 ,353,25,503,6,815
No.10 ,353,57,503,6,815

Disp Cluster Num:3
Center Point ,166,82,5,66,438

No.1 ,166,82,5,66,438
No.2 ,166,82,5,66,438
No.3 ,166,82,5,66,438
No.4 ,166,82,5,66,438
No.5 ,166,82,5,66,438
No.6 ,166,82,5,66,438
No.7 ,166,82,5,66,406
No.8 ,166,82,5,66,438
No.9 ,166,82,5,66,438
No.10 ,166,82,5,66,438

Disp Cluster Num:4
Center Point ,128,45,23,55,925

No.1 ,128,45,23,55,925
No.2 ,128,45,23,53,925
